source_file,parameter_path,value,kind
defaultFactorySettings.js,investments.factoryExpansion.spaceEffectM2,1000,setting
defaultFactorySettings.js,investments.factoryExpansion.depreciationPerRound,0.025,setting
defaultFactorySettings.js,investments.setupAutomation.type,mold-change-automation,setting
defaultFactorySettings.js,investments.setupAutomation.scope,machining,setting
defaultFactorySettings.js,investments.setupAutomation.repeatable,true,setting
defaultFactorySettings.js,investments.setupAutomation.price,250000,setting
defaultFactorySettings.js,investments.setupAutomation.unlockThreshold.method,smed,setting
defaultFactorySettings.js,investments.setupAutomation.unlockThreshold.level,4,setting
defaultFactorySettings.js,investments.setupAutomation.setupTimeReductionMinutesPerMachine,10,setting
defaultFactorySettings.js,investments.setupAutomation.depreciationPerRound,0.05,setting
defaultFactorySettings.js,investments.setupAutomation.installedMachineIds,[2],setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.type,automatic-process-measurement,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.scope,factory,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.repeatable,false,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.price,250000,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.unlockThreshold.method,spc,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.unlockThreshold.level,4,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.qualityBonusPctPoints,2,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.depreciationPerRound,0.05,setting
defaultFactorySettings.js,investments.automaticProcessMeasurement.installed,false,setting
defaultFactorySettings.js,investments.conditionMonitoring.type,condition-monitoring,setting
defaultFactorySettings.js,investments.conditionMonitoring.scope,factory,setting
defaultFactorySettings.js,investments.conditionMonitoring.repeatable,false,setting
defaultFactorySettings.js,investments.conditionMonitoring.price,200000,setting
defaultFactorySettings.js,investments.conditionMonitoring.unlockThreshold.method,tpm,setting
defaultFactorySettings.js,investments.conditionMonitoring.unlockThreshold.level,4,setting
defaultFactorySettings.js,investments.conditionMonitoring.availabilityBonusPctPoints,2,setting
defaultFactorySettings.js,investments.conditionMonitoring.depreciationPerRound,0.05,setting
defaultFactorySettings.js,investments.conditionMonitoring.installed,false,setting
defaultFactorySettings.js,initialState.round,1,initial_state
defaultFactorySettings.js,initialState.market.price,25000,initial_state
defaultFactorySettings.js,initialState.market.activeVariations,20,initial_state
defaultFactorySettings.js,initialState.market.productionRunsPerVariation,2,initial_state
defaultFactorySettings.js,initialState.production.machiningMachines,2,initial_state
defaultFactorySettings.js,initialState.staffing.assembly,25,initial_state
defaultFactorySettings.js,initialState.staffing.shipping,5,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.focusBudgetHours,400,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.departments.machining.effectiveHours,569,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.departments.machining.weight,0.42,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.departments.assembly.effectiveHours,747,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.departments.assembly.weight,0.35,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.departments.shipping.effectiveHours,417,initial_state
defaultFactorySettings.js,initialState.lean.fiveS.departments.shipping.weight,0.23,initial_state
defaultFactorySettings.js,initialState.lean.methods.machining.smed,175,initial_state
defaultFactorySettings.js,initialState.lean.methods.machining.tpm,145,initial_state
defaultFactorySettings.js,initialState.lean.methods.machining.spc,100,initial_state
defaultFactorySettings.js,initialState.lean.methods.assembly.method-development,50,initial_state
defaultFactorySettings.js,initialState.lean.methods.assembly.tpm,210,initial_state
defaultFactorySettings.js,initialState.lean.methods.assembly.poka-yoke,120,initial_state
defaultFactorySettings.js,initialState.lean.methods.shipping.method-development,50,initial_state
defaultFactorySettings.js,initialState.lean.methods.shipping.tpm,160,initial_state
defaultFactorySettings.js,initialState.lean.methods.shipping.poka-yoke,90,initial_state
defaultFactorySettings.js,initialState.factory.totalAreaM2,4000,initial_state
defaultFactorySettings.js,initialState.factory.dispatchM2,250,initial_state
defaultFactorySettings.js,initialState.factory.officeAndSocialM2,200,initial_state
defaultFactorySettings.js,initialState.factory.expansionsCount,0,initial_state
defaultFactorySettings.js,initialState.investments.setupAutomation.installedMachineIds,[],initial_state
defaultFactorySettings.js,initialState.investments.automaticProcessMeasurement.installed,false,initial_state
defaultFactorySettings.js,initialState.investments.conditionMonitoring.installed,false,initial_state
defaultFactorySettings.js,initialState.inventory.finishedGoodsContainers,82.25,initial_state
defaultFactorySettings.js,initialState.finance.cash,50000,initial_state
defaultFactorySettings.js,initialState.finance.bankLoans,420000,initial_state
defaultFactorySettings.js,initialState.finance.overdraft,0,initial_state
defaultFactorySettings.js,initialState.finance.equity,2407600,initial_state
defaultFactorySettings.js,initialState.finance.otherLiabilities,2867400,initial_state
defaultFactorySettings.js,initialState.finance.machineryBookValue,500000,initial_state
defaultFactorySettings.js,initialState.finance.buildingsBookValue,3000000,initial_state
defaultFactorySettings.js,initialState.finance.finishedGoodsInventoryBookValue,1645000,initial_state
defaultFactorySettings.js,initialState.finance.rawMaterialInventoryBookValue,500000,initial_state
defaultFactorySettings.js,initialState.finance.inventoryBookValue,2145000,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.sales,132,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.revenue,3300000,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.inventoryChange,50000,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.materials,1320000,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.labor,1500000,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.fixedCosts,750000,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.depreciation,112500,initial_state
defaultFactorySettings.js,initialState.finance.incomeStatement.financingCosts,17500,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.sales,132,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.revenue,3310000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.inventoryChange,50000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.materials,1318000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.labor,1498000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.fixedCosts,759000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.depreciation,112000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundIncomeStatement.financingCosts,16000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.assets.buildings,3075000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.assets.machineryAndEquipment,525000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.assets.finishedGoodsInventory,1620000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.assets.rawMaterialInventory,510000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.assets.cash,60000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.equityAndLiabilities.equity,2414600,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.equityAndLiabilities.bankLoans,470000,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.equityAndLiabilities.otherLiabilities,2905400,initial_state
defaultFactorySettings.js,initialState.finance.history.previousRoundBalanceSheet.equityAndLiabilities.overdraft,0,initial_state
forecast/model.js,HOURS_PER_MACHINE_PER_ROUND,1040,constant
forecast/model.js,HOURS_PER_WORKER_PER_ROUND,1040,constant
forecast/model.js,MACHINING_NORM_HOURS_PER_CONTAINER,6,constant
forecast/model.js,ASSEMBLY_NORM_HOURS_PER_CONTAINER,90,constant
forecast/model.js,SHIPPING_NORM_HOURS_PER_CONTAINER,10,constant
forecast/model.js,PRICE_REFERENCE,25000,constant
forecast/model.js,DEMAND_REFERENCE_PER_VARIATION,10,constant
forecast/model.js,PRICE_ELASTICITY,-4,constant
forecast/model.js,STAFF_COST_PER_ROUND,12500,constant
forecast/model.js,MATERIAL_COST_PER_SOLD_CONTAINER,10000,constant
forecast/model.js,FIXED_COST_PER_ROUND,750000,constant
forecast/model.js,INTEREST_RATE_PER_ROUND,0.0125,constant
forecast/model.js,MACHINERY_DEPRECIATION_PER_ROUND,0.05,constant
forecast/model.js,BUILDING_DEPRECIATION_PER_ROUND,0.025,constant
forecast/model.js,FINISHED_GOODS_VALUE_PER_CONTAINER,20000,constant
forecast/model.js,FINISHED_GOODS_AREA_PER_CONTAINER,15,constant
forecast/model.js,ASSEMBLY_AREA_PER_WORKER,25,constant
forecast/model.js,MIN_COMPONENT_PCT,0,constant
forecast/model.js,MAX_COMPONENT_PCT,95,constant
forecast/model.js,DEFAULT_MARKET_DECISION.price,25000,constant
forecast/model.js,DEFAULT_MARKET_DECISION.runsPerVariation,2,constant
forecast/model.js,DEFAULT_MARKET_DECISION.newVariations,0,constant
forecast/model.js,DEFAULT_MARKET_DECISION.addedVariations,0,constant
forecast/model.js,DEFAULT_MARKET_DECISION.productionQuantity,null,constant
forecast/model.js,DEFAULT_MARKET_DECISION.activeVariationCount,1,constant
forecast/model.js,PHASE_KEY_TO_DEPARTMENT.machining,machining,mapping
forecast/model.js,PHASE_KEY_TO_DEPARTMENT.assembly,assembly,mapping
forecast/model.js,PHASE_KEY_TO_DEPARTMENT.dispatch,shipping,mapping
forecast/model.js,calculateDemandPerVariation.fallback.referencePrice,25000,function_default
forecast/model.js,calculateDemandPerVariation.fallback.baseDemandPerVariation,10,function_default
forecast/model.js,calculateDemandPerVariation.fallback.priceElasticity,-4,function_default
forecast/model.js,calculateAllowedNewVariations.fallback.minimumQualityForZeroAdditionalVariations,0.75,function_default
forecast/model.js,calculateAllowedNewVariations.fallback.oneVariationMinQuality,0.75,function_default
forecast/model.js,calculateAllowedNewVariations.returnValues,"0|1|2",function_default
forecast/model.js,calculateLearningComponent.default.maxPct,95,function_default
forecast/model.js,calculateLearningComponent.default.curveHours,1200,function_default
forecast/model.js,calculateSmedChangeoverHours.default.initialSetupTimeHours,8,function_default
forecast/model.js,calculateSmedChangeoverHours.default.minimumSetupTimeHours,0.5,function_default
forecast/model.js,calculateSmedChangeoverHours.default.decayHours,450,function_default
forecast/model.js,calculateTpmDowntimeLoss.default.initialDowntimeRate,0.1,function_default
forecast/model.js,calculateTpmDowntimeLoss.default.minimumDowntimeRate,0.01,function_default
forecast/model.js,calculateTpmDowntimeLoss.default.decayHours,450,function_default
five-s/model.js,FIVE_S_MAX_EFFECTIVE_HOURS,1600,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[0].level,0,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[0].hours,0,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[1].level,1,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[1].hours,189,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[2].level,2,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[2].hours,474,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[3].level,3,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[3].hours,711,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[4].level,4,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[4].hours,1066,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[5].level,5,constant
five-s/model.js,FIVE_S_LEVEL_THRESHOLDS[5].hours,1600,constant
five-s/model.js,DEFAULT_INVESTED_HOURS.machining,0,constant
five-s/model.js,DEFAULT_INVESTED_HOURS.assembly,0,constant
five-s/model.js,DEFAULT_INVESTED_HOURS.shipping,0,constant
five-s/model.js,applyFiveSDecay.multiplier,0.95,function_default
investments/model.js,MACHINERY_DEPRECIATION_RATE_PER_ROUND,0.05,constant
investments/model.js,BUILDINGS_DEPRECIATION_RATE_PER_ROUND,0.025,constant
investments/model.js,calculateDebtLimit.default.maxDebtToEquity,2,function_default
investments/model.js,calculateFactorySpaceUsage.machineSpaceM2,250,function_default
investments/model.js,calculateFactorySpaceUsage.workerSpaceM2,25,function_default
investments/model.js,calculateFactorySpaceUsage.finishedGoodsSpacePerContainerM2,15,function_default
investments/model.js,applyFactoryExpansion.expansionAreaM2,1000,function_default
investments/model.js,getAdditionalPersonnelFromMachines.workersPerMachine,5,function_default
investments/model.js,canFinanceInvestment.default.maxDebtToEquity,2,function_default
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[0].level,0,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[0].hours,0,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[1].level,1,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[1].hours,50,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[2].level,2,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[2].hours,125,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[3].level,3,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[3].hours,225,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[4].level,4,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[4].hours,350,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[5].level,5,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[5].hours,500,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[6].level,6,constant
lean-projects/model.js,METHOD_LEVEL_THRESHOLDS[6].hours,700,constant
lean-projects/model.js,METHOD_DEVELOPMENT_FIXED_HOURS,50,constant
lean-projects/model.js,PROJECT_EURO_PER_HOUR,100,constant
lean-projects/model.js,PROJECT_COST_ROUNDING,1000,constant
lean-projects/model.js,MAX_METHOD_EFFECTIVE_HOURS,700,constant
lean-projects/model.js,normalizeSelectionHours.default.step,10,function_default
lean-projects/model.js,calculateProjectCost.default.costPerHour,100,function_default
lean-projects/model.js,calculateProjectCost.default.costRounding,1000,function_default
lean-projects/model.js,canSelectMethodDevelopment.threshold.fixedHours,50,function_default
